"5,Brooklyn,y,26682"
"5,Manhattan,g,9899"
"5,Manhattan,y,249038"
"5,Queens,g,7870"
"5,Queens,y,24698"
"5,Staten Island,g,14"
"5,Staten Island,y,151"
"6,Bronx,g,3369"
"6,Bronx,y,6032"
"6,Brooklyn,g,5049"
"6,Brooklyn,y,19513"
"6,Manhattan,g,15135"
"6,Manhattan,y,622178"
"6,Queens,g,5737"
"6,Queens,y,21499"
"6,Staten Island,g,8"
"6,Staten Island,y,108"
"7,Bronx,g,8244"
"7,Bronx,y,6967"
"7,Brooklyn,g,8955"
"7,Brooklyn,y,20666"
"7,Manhattan,g,31333"
"7,Manhattan,y,1186872"
"7,Queens,g,9235"
"7,Queens,y,23751"
"7,Staten Island,g,26"
"7,Staten Island,y,110"
"8,Bronx,g,13897"
"8,Bronx,y,7137"
"8,Brooklyn,g,15062"
"8,Brooklyn,y,25162"
"8,Manhattan,g,52962"
"8,Manhattan,y,1562014"
"8,Queens,g,15801"
"8,Queens,y,26356"
"8,Staten Island,g,45"
"8,Staten Island,y,104"
"9,Bronx,g,12459"
"9,Bronx,y,5969"
"9,Brooklyn,g,16977"
"9,Brooklyn,y,25674"
"9,Manhattan,g,63335"
"9,Manhattan,y,1711824"
"9,Queens,g,17942"
"9,Queens,y,24902"
"9,Staten Island,g,69"
"9,Staten Island,y,153"
